2. maailmansota,II maailmansota,toinen maailmansota        Vapaa Ranska
amerikkalainen jalkapallo        ylivoima<unconfirmed/>
amerikkalainen jalkapallo        yritys
ammattilaiskoripalloilija        neljännes
anatomia,yleinen anatomia,yleisanatomia        aboraalinen
anatomia,yleinen anatomia,yleisanatomia        alempi
anatomia,yleinen anatomia,yleisanatomia        ampulli-,ampullimainen,ampullin<gen/>
anatomia,yleinen anatomia,yleisanatomia        apofyysi
anatomia,yleinen anatomia,yleisanatomia        aukkoon liittyvä,aukon<gen/>
anatomia,yleinen anatomia,yleisanatomia        cavum,ontelo
anatomia,yleinen anatomia,yleisanatomia        cingulum
anatomia,yleinen anatomia,yleisanatomia        distaalinen
anatomia,yleinen anatomia,yleisanatomia        distaalinen,etäisin,uloin
anatomia,yleinen anatomia,yleisanatomia        distaalisesti
anatomia,yleinen anatomia,yleisanatomia        ektooppinen,virhepaikkainen,virhesijaintinen
anatomia,yleinen anatomia,yleisanatomia        eteiseen liittyvä
anatomia,yleinen anatomia,yleisanatomia        halkeama,lovi
anatomia,yleinen anatomia,yleisanatomia        halkio
anatomia,yleinen anatomia,yleisanatomia        hilum,hilus
anatomia,yleinen anatomia,yleisanatomia        hohka-,hohkainen,huokoinen
anatomia,yleinen anatomia,yleisanatomia        johdin
anatomia,yleinen anatomia,yleisanatomia        jolla on kylkiluut<idiomatic_pos/>
anatomia,yleinen anatomia,yleisanatomia        kainalo-,kainalon<gen/>
anatomia,yleinen anatomia,yleisanatomia        kapseli-
anatomia,yleinen anatomia,yleisanatomia        kerros
anatomia,yleinen anatomia,yleisanatomia        kiasmaattinen,risteyksen<gen/>,risteys-,risti-,ristin<gen/>
anatomia,yleinen anatomia,yleisanatomia        kruunumainen<idiomatic_pos/>
anatomia,yleinen anatomia,yleisanatomia        kuorikko
anatomia,yleinen anatomia,yleisanatomia        kylkiluiden välinen
anatomia,yleinen anatomia,yleisanatomia        kylkiluu-,kylkiluun<gen/>
anatomia,yleinen anatomia,yleisanatomia        laajentunut,pullistunut
anatomia,yleinen anatomia,yleisanatomia        lateraalisesti
anatomia,yleinen anatomia,yleisanatomia        lihaksikas,mesomorfinen
anatomia,yleinen anatomia,yleisanatomia        läheinen,proksimaalinen
anatomia,yleinen anatomia,yleisanatomia        meniski,nivelkierukka
anatomia,yleinen anatomia,yleisanatomia        mesiaalinen
anatomia,yleinen anatomia,yleisanatomia        nielu-
anatomia,yleinen anatomia,yleisanatomia        nipukka
anatomia,yleinen anatomia,yleisanatomia        nivel
anatomia,yleinen anatomia,yleisanatomia        pallea
anatomia,yleinen anatomia,yleisanatomia        pikkuaivoteltta,tentorium
anatomia,yleinen anatomia,yleisanatomia        piste
anatomia,yleinen anatomia,yleisanatomia        pohja,pohjukka
anatomia,yleinen anatomia,yleisanatomia        pohja,tyvi
anatomia,yleinen anatomia,yleisanatomia        poimu
anatomia,yleinen anatomia,yleisanatomia        poimu,sulcus
anatomia,yleinen anatomia,yleisanatomia        pussi
anatomia,yleinen anatomia,yleisanatomia        päälaen<gen/>,päälaki-
anatomia,yleinen anatomia,yleisanatomia        päälakipiste-<unconfirmed/>
anatomia,yleinen anatomia,yleisanatomia        rakenne
anatomia,yleinen anatomia,yleisanatomia        rintalastaan liittymätön
anatomia,yleinen anatomia,yleisanatomia        sarvi
anatomia,yleinen anatomia,yleisanatomia        seinä
anatomia,yleinen anatomia,yleisanatomia        sirkkajuuri
anatomia,yleinen anatomia,yleisanatomia        sisempi,sisä-
anatomia,yleinen anatomia,yleisanatomia        sisäinen
anatomia,yleinen anatomia,yleisanatomia        suoliluuhun liittyvä
anatomia,yleinen anatomia,yleisanatomia        suu-
anatomia,yleinen anatomia,yleisanatomia        sympaattinen
anatomia,yleinen anatomia,yleisanatomia        talukseen liittyvä
anatomia,yleinen anatomia,yleisanatomia        ulko-
anatomia,yleinen anatomia,yleisanatomia        uurre,vallecula
anatomia,yleinen anatomia,yleisanatomia        vaajaluu-,vaajaluun<gen/>
anatomia,yleinen anatomia,yleisanatomia        veneen muotoinen,veneenmuotoinen
anatomia,yleinen anatomia,yleisanatomia        väliseinä
anatomia,yleinen anatomia,yleisanatomia        yksittäinen<unconfirmed/>
anatomia,yleinen anatomia,yleisanatomia        -elimet,järjestelmä
anglosaksi        anglosaksinen jumalolento
antiikin aika,muinaisaika        Ana
antiikin aika,muinaisaika        Bacchus,Bakkhos
antiikin aika,muinaisaika        Lug,Lugh
antiikin aika,muinaisaika        Ra,Re
antiikin aika,muinaisaika        Rooman<gen/>,romaaninen,roomalainen
